Algoritmo,Base,Repeticao,D,Dp,Dn,Atributos,I,Tempo,Testes,Seed,WRAcc,size,TP,FP,SUPP,Qg,Chi_Quad,p_value,Lift,DiffSup,K,GrowthRate,OddsRatio,cov,conf,supp,suppP,suppN
SSDP,alon-pn-freq-2,1,62,40,22,2000,4000,0.25,112000,179424673,0.141935484,2,24.8,0,0.725,24.8,22.73980085,1.96E-06,1.55,0.62,5,Infinity,Infinity,0.4,1,0.4,0.62,0
SSDP,alon-pn-freq-2,2,62,40,22,2000,4000,0.37,172000,125164703,0.141935484,2,24.8,0,0.725,24.8,22.73980085,1.96E-06,1.55,0.62,5,Infinity,Infinity,0.4,1,0.4,0.62,0
SSDP,alon-pn-freq-2,3,62,40,22,2000,4000,0.25,112000,132011827,0.141935484,2,24.8,0,0.725,24.8,22.73980085,1.96E-06,1.55,0.62,5,Infinity,Infinity,0.4,1,0.4,0.62,0
SSDP,alon-pn-freq-2,4,62,40,22,2000,4000,0.26,116000,124987441,0.141935484,2,24.8,0,0.7,24.8,22.73980085,1.96E-06,1.55,0.62,5,Infinity,Infinity,0.4,1,0.4,0.62,0
SSDP,alon-pn-freq-2,5,62,40,22,2000,4000,0.252,112000,123979721,0.141935484,2,24.8,0,0.7,24.8,22.73980085,1.96E-06,1.55,0.62,5,Infinity,Infinity,0.4,1,0.4,0.62,0
SSDP,alon-pn-freq-2,6,62,40,22,2000,4000,0.28,128000,119777719,0.141935484,2,24.8,0,0.725,24.8,22.73980085,1.96E-06,1.55,0.62,5,Infinity,Infinity,0.4,1,0.4,0.62,0
SSDP,alon-pn-freq-2,7,62,40,22,2000,4000,0.28,124000,117705823,0.141935484,2,24.8,0,0.7,24.8,22.73980085,1.96E-06,1.55,0.62,5,Infinity,Infinity,0.4,1,0.4,0.62,0
SSDP,alon-pn-freq-2,8,62,40,22,2000,4000,0.259,120000,112131119,0.141935484,2,24.8,0,0.7,24.8,22.73980085,1.96E-06,1.55,0.62,5,Infinity,Infinity,0.4,1,0.4,0.62,0
SSDP,alon-pn-freq-2,9,62,40,22,2000,4000,0.26,116000,108626351,0.141935484,2,24.8,0,0.7,24.8,22.73980085,1.96E-06,1.55,0.62,5,Infinity,Infinity,0.4,1,0.4,0.62,0
SSDP,alon-pn-freq-2,10,62,40,22,2000,4000,0.26,116000,107980007,0.141935484,2,24.8,0,0.7,24.8,22.73980085,1.96E-06,1.55,0.62,5,Infinity,Infinity,0.4,1,0.4,0.62,0
SSDP,alon-pn-freq-4,1,62,40,22,2000,8000,0.27,144000,179424673,0.089281998,1,15.6,0,0.85,15.6,11.46971323,7.32E-04,1.55,0.39,5,Infinity,Infinity,0.251612903,1,0.251612903,0.39,0
